name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Casper Ruud,Yoshihito Nishioka,TRUE,87.20%,85.30%,60.00%,44.40%,66.70%,53.30%
Alexander Zverev,Grigor Dimitrov,TRUE,86.40%,77.20%,66.70%,30.60%,44.00%,35.10%
Jannik Sinner,Lorenzo Sonego,TRUE,82.80%,72.90%,60.00%,39.00%,52.20%,43.80%
Ben Shelton,Aslan Karatsev,TRUE,80.00%,80.00%,70.00%,38.90%,51.90%,44.40%
Borna Gojo,Aslan Karatsev,TRUE,79.20%,81.60%,60.00%,29.60%,60.70%,45.50%
Matteo Berrettini,Gregoire Barrere,TRUE,79.10%,85.30%,55.60%,44.40%,47.10%,45.90%
Thiago Agustin Tirante,Gonzalo Lama,TRUE,78.60%,72.70%,83.30%,34.10%,54.50%,43.20%
Dalibor Svrcina,Zhe Li,TRUE,78.40%,75.00%,63.60%,32.00%,50.00%,41.50%
Alexander Zverev,Carlos Alcaraz Garfia,TRUE,77.30%,78.70%,50.00%,26.60%,46.40%,32.60%
Roberto Carballes Baena,Giovanni Mpetshi Perricard,FALSE,77.10%,77.80%,75.00%,28.80%,54.30%,37.60%
Hubert Hurkacz,Stefanos Tsitsipas,TRUE,76.90%,85.00%,66.70%,22.20%,45.00%,31.90%
Alexander Zverev,Diego Sebastian Schwartzman,TRUE,76.70%,71.20%,50.00%,34.40%,60.00%,41.90%
Marc Polmans,Dane Sweeny,TRUE,76.60%,83.30%,45.50%,37.50%,63.00%,51.00%
Jiri Lehecka,Hamad Medjedovic,FALSE,76.00%,71.10%,50.00%,28.60%,43.50%,33.30%
Botic Van De Zandschulp,Christopher Oconnell,TRUE,75.90%,76.20%,65.00%,26.60%,69.70%,41.20%
Sebastian Baez,Laslo Djere,TRUE,75.90%,70.50%,50.00%,40.70%,68.40%,52.20%
Ben Shelton,Jaume Munar,TRUE,75.80%,78.70%,53.30%,32.40%,45.50%,37.30%
Alexander Zverev,Ugo Humbert,TRUE,75.80%,70.00%,53.10%,22.80%,54.80%,33.90%
Carlos Alcaraz Garfia,Gregoire Barrere,TRUE,75.80%,70.00%,50.00%,38.10%,54.10%,45.60%
Hamad Medjedovic,Laslo Djere,TRUE,75.80%,84.00%,50.00%,23.80%,61.50%,38.20%
Daniil Medvedev,Arthur Fils,TRUE,75.60%,90.30%,80.00%,32.60%,70.00%,44.40%
Zhizhen Zhang,Brandon Nakashima,TRUE,75.40%,80.40%,60.00%,26.30%,50.00%,33.90%
Hubert Hurkacz,Roberto Bautista Agut,TRUE,74.50%,81.60%,53.80%,28.60%,60.00%,41.70%
Jordan Thompson,Christopher Eubanks,TRUE,74.40%,86.20%,80.00%,36.40%,68.20%,49.10%
Tomas Machac,Aleksandar Vukic,TRUE,74.40%,86.20%,80.00%,38.70%,60.00%,47.10%
Ugo Humbert,Jeffrey John Wolf,TRUE,74.30%,92.30%,88.90%,45.50%,73.70%,58.50%
Hubert Hurkacz,Yu Hsiou Hsu,TRUE,74.20%,71.70%,62.50%,37.00%,50.00%,40.50%
Borna Gojo,Tommy Paul,TRUE,74.10%,76.70%,66.70%,35.90%,44.00%,39.10%
