surface,player1_name,player1_ht,player1_ioc,player1_age,player2_name,player2_ht,player2_ioc,player2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1st_Serve,p1_1stWon,p1_1st_Serve_won,p1_2ndWon,p1_2nd_serve_won,p1_bpSaved,p1_bpFaced,p1_breakpoint_saved,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1st_Serve,p2_1stWon,p2_1st_Serve_won,p2_2ndWon,p2_2nd_serve_won,p2_bpSaved,p2_bpFaced,p2_breakpoint_saved,winner_name
Hard,Frances Tiafoe,188,USA,24.9,Lorenzo Musetti,185,ITA,20.8,6-2 0-0 RET,3,F,34,3,1,27,19,70.37037037,15,78.94736842,3,37.5,3,3,100,0,0,21,12,57.14285714,8,66.66666667,3,33.33333333,1,3,33.33333333,Frances Tiafoe
Hard,Taylor Fritz,193,USA,25.1,Hubert Hurkacz,196,POL,25.8,7-6(5) 7-6(5),3,SF,104,11,0,80,50,62.5,44,88,19,63.33333333,4,4,100,17,1,82,62,75.6097561,51,82.25806452,7,35,2,2,100,Taylor Fritz
Hard,Frances Tiafoe,188,USA,24.9,Kacper Zuk,183,POL,23.9,6-3 6-3,3,SF,79,5,4,61,37,60.6557377,31,83.78378378,11,45.83333333,5,5,100,3,3,68,41,60.29411765,26,63.41463415,12,44.44444444,6,9,66.66666667,Frances Tiafoe
Hard,Stefanos Tsitsipas,193,GRE,24.3,Matteo Berrettini,196,ITA,26.7,4-6 7-6(2) 6-4,3,SF,155,9,1,98,52,53.06122449,43,82.69230769,28,60.86956522,1,2,50,7,2,89,58,65.16853933,48,82.75862069,18,58.06451613,1,2,50,Stefanos Tsitsipas
Hard,Lorenzo Musetti,185,ITA,20.8,Stefanos Sakellaridis,,GRE,18.3,6-1 6-1,3,SF,62,2,1,41,25,60.97560976,18,72,12,75,1,1,100,2,1,43,26,60.46511628,15,57.69230769,5,29.41176471,4,9,44.44444444,Lorenzo Musetti
Hard,Stefanos Tsitsipas,193,GRE,24.3,Borna Coric,188,CRO,26.1,6-0 6-7(4) 7-5,3,RR,151,20,1,94,60,63.82978723,45,75,20,58.82352941,5,6,83.33333333,7,2,88,59,67.04545455,44,74.57627119,10,34.48275862,2,7,28.57142857,Stefanos Tsitsipas
Hard,Borna Gojo,196,CRO,24.8,Stefanos Sakellaridis,,GRE,18.3,6-4 6-2,3,RR,89,4,1,50,30,60,27,90,11,55,1,1,100,4,1,78,50,64.1025641,30,60,12,42.85714286,6,9,66.66666667,Borna Gojo
Hard,Matteo Berrettini,196,ITA,26.7,Hubert Hurkacz,196,POL,25.8,6-4 3-6 6-3,3,RR,116,11,1,77,49,63.63636364,37,75.51020408,18,64.28571429,2,4,50,12,1,79,49,62.02531646,36,73.46938776,16,53.33333333,1,4,25,Matteo Berrettini
Hard,Cameron Norrie,188,GBR,27.3,Taylor Fritz,193,USA,25.1,6-4 5-7 6-4,3,RR,136,7,0,91,69,75.82417582,53,76.8115942,9,40.90909091,5,8,62.5,16,2,95,58,61.05263158,39,67.24137931,21,56.75675676,4,8,50,Cameron Norrie
Hard,Frances Tiafoe,188,USA,24.9,Daniel Evans,175,GBR,32.6,3-6 7-5 6-3,3,RR,132,10,1,87,46,52.87356322,32,69.56521739,24,58.53658537,7,10,70,9,3,82,46,56.09756098,35,76.08695652,17,47.22222222,5,9,55.55555556,Frances Tiafoe
Hard,Stefanos Tsitsipas,193,GRE,24.3,David Goffin,180,BEL,32,6-3 6-2,3,RR,78,12,1,61,39,63.93442623,27,69.23076923,12,54.54545455,4,5,80,2,1,49,33,67.34693878,22,66.66666667,4,25,2,6,33.33333333,Stefanos Tsitsipas
Hard,Stefanos Sakellaridis,,GRE,18.3,Zizou Bergs,185,BEL,23.5,5-7 6-1 6-3,3,RR,133,8,1,86,50,58.13953488,37,74,21,58.33333333,4,5,80,1,5,86,52,60.46511628,33,63.46153846,16,47.05882353,3,7,42.85714286,Stefanos Sakellaridis
Hard,Stefanos Tsitsipas,193,GRE,24.3,Grigor Dimitrov,188,BUL,31.6,4-6 6-2 7-6(4),3,RR,,12,1,95,72,75.78947368,56,77.77777778,12,52.17391304,8,9,88.88888889,11,2,87,55,63.2183908,44,80,19,59.375,6,8,75,Stefanos Tsitsipas
Hard,Dimitar Kuzmanov,183,BUL,29.4,Michail Pervolarakis,193,CYP,26.5,6-1 6-1,3,RR,67,2,2,36,20,55.55555556,18,90,11,68.75,1,1,100,2,5,48,26,54.16666667,14,53.84615385,6,27.27272727,3,8,37.5,Dimitar Kuzmanov
Hard,Grigor Dimitrov,188,BUL,31.6,David Goffin,180,BEL,32,6-4 7-5,3,RR,102,10,7,72,48,66.66666667,38,79.16666667,9,37.5,6,8,75,2,2,64,33,51.5625,22,66.66666667,16,51.61290323,3,7,42.85714286,Grigor Dimitrov
Hard,Dimitar Kuzmanov,183,BUL,29.4,Zizou Bergs,185,BEL,23.5,6-2 6-0,3,RR,87,2,0,48,33,68.75,21,63.63636364,12,80,3,3,100,4,4,56,31,55.35714286,13,41.93548387,11,44,2,7,28.57142857,Dimitar Kuzmanov
Hard,Hubert Hurkacz,196,POL,25.8,Stan Wawrinka,183,SUI,37.7,7-6(5) 6-4,3,RR,99,11,0,62,32,51.61290323,25,78.125,23,76.66666667,1,2,50,9,3,67,33,49.25373134,26,78.78787879,21,61.76470588,1,3,33.33333333,Hubert Hurkacz
Hard,Marc Andrea Huesler,196,SUI,26.5,Daniel Michalski,180,POL,22.9,6-3 6-2,3,RR,72,3,1,52,31,59.61538462,27,87.09677419,11,52.38095238,0,0,#DIV/0!,0,2,46,34,73.91304348,20,58.82352941,5,41.66666667,0,3,0,Marc Andrea Huesler
Hard,Hubert Hurkacz,196,POL,25.8,Alexander Bublik,196,KAZ,25.5,7-6(8) 4-6 6-3,3,RR,129,18,4,94,58,61.70212766,52,89.65517241,20,55.55555556,3,4,75,15,8,104,62,59.61538462,50,80.64516129,23,54.76190476,3,4,75,Hubert Hurkacz
Hard,Timofey Skatov,173,RUS,21.9,Daniel Michalski,180,POL,22.9,7-6(7) 6-2,3,RR,131,3,1,78,55,70.51282051,44,80,11,47.82608696,5,5,100,2,2,93,62,66.66666667,41,66.12903226,14,45.16129032,8,10,80,Timofey Skatov
Hard,Stan Wawrinka,183,SUI,37.7,Alexander Bublik,196,KAZ,25.5,6-3 7-6(3),3,RR,90,10,0,63,34,53.96825397,29,85.29411765,19,65.51724138,0,0,#DIV/0!,7,2,59,42,71.18644068,33,78.57142857,8,47.05882353,3,4,75,Stan Wawrinka
Hard,Marc Andrea Huesler,196,SUI,26.5,Timofey Skatov,173,RUS,21.9,4-6 6-3 6-3,3,RR,,6,1,99,67,67.67676768,48,71.64179104,16,50,6,7,85.71428571,4,2,88,61,69.31818182,41,67.21311475,13,48.14814815,4,7,57.14285714,Marc Andrea Huesler
Hard,Taylor Fritz,193,USA,25.1,Alexander Zverev,198,GER,25.7,6-1 6-4,3,RR,64,8,4,45,27,60,26,96.2962963,11,61.11111111,1,1,100,3,5,60,48,80,31,64.58333333,3,25,3,6,50,Taylor Fritz
Hard,Frances Tiafoe,188,USA,24.9,Oscar Otte,196,GER,29.4,7-5 6-4,3,RR,75,9,3,56,30,53.57142857,29,96.66666667,16,61.53846154,0,0,#DIV/0!,10,0,58,30,51.72413793,23,76.66666667,18,64.28571429,0,2,0,Frances Tiafoe
Hard,Taylor Fritz,193,USA,25.1,Jiri Lehecka,185,CZE,21.1,6-3 6-4,3,RR,,5,3,68,41,60.29411765,32,78.04878049,14,51.85185185,2,2,100,4,1,48,31,64.58333333,24,77.41935484,8,47.05882353,1,3,33.33333333,Taylor Fritz
