TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ NYK,04/14/2024,L,265,119,49,101,48.5,8,31,25.8,13,16,81.3,15,29,44,25,15,3,12,21,-1,,NYK,NYK vs. CHI,04/14/2024,W,265,120,46,91,50.5,12,32,37.5,16,21,76.2,16,37,53,27,7,6,21,17,1
NOP,NOP vs. LAL,04/14/2024,L,240,108,41,86,47.7,15,37,40.5,11,14,78.6,10,29,39,26,8,1,19,17,-16,,LAL,LAL @ NOP,04/14/2024,W,240,124,48,87,55.2,11,29,37.9,17,18,94.4,7,32,39,32,12,3,15,13,16
MEM,MEM vs. DEN,04/14/2024,L,240,111,45,100,45,8,33,24.2,13,18,72.2,16,27,43,22,9,2,13,18,-15,,DEN,DEN @ MEM,04/14/2024,W,240,126,46,89,51.7,12,36,33.3,22,26,84.6,16,38,54,32,9,5,18,17,15
DET,DET @ SAS,04/14/2024,L,240,95,36,92,39.1,8,33,24.2,15,20,75,11,29,40,17,7,3,14,9,-28,,SAS,SAS vs. DET,04/14/2024,W,240,123,49,91,53.8,15,34,44.1,10,14,71.4,12,42,54,33,9,3,14,17,28
POR,POR @ SAC,04/14/2024,L,240,82,31,98,31.6,7,45,15.6,13,17,76.5,23,31,54,18,11,2,18,19,-39,,SAC,SAC vs. POR,04/14/2024,W,240,121,43,87,49.4,13,34,38.2,22,27,81.5,13,38,51,29,11,6,14,19,39
UTA,UTA @ GSW,04/14/2024,L,240,116,46,89,51.7,14,34,41.2,10,16,62.5,14,34,48,22,6,5,20,20,-7,,GSW,GSW vs. UTA,04/14/2024,W,240,123,45,94,47.9,14,43,32.6,19,23,82.6,12,30,42,35,10,6,9,14,7
MIN,MIN vs. PHX,04/14/2024,L,240,106,36,70,51.4,9,26,34.6,25,31,80.6,12,24,36,22,7,5,24,20,-19,,PHX,PHX @ MIN,04/14/2024,W,240,125,47,86,54.7,16,29,55.2,15,18,83.3,13,19,32,28,13,3,13,24,19
ATL,ATL @ IND,04/14/2024,L,240,115,39,89,43.8,12,36,33.3,25,27,92.6,9,23,32,25,6,5,17,12,-42,,IND,IND vs. ATL,04/14/2024,W,240,157,65,100,65,19,36,52.8,8,10,80,12,36,48,41,10,6,16,24,42
MIA,MIA vs. TOR,04/14/2024,W,240,118,46,87,52.9,9,36,25,17,19,89.5,13,33,46,29,13,7,19,16,15,,TOR,TOR @ MIA,04/14/2024,L,240,103,38,90,42.2,9,34,26.5,18,21,85.7,13,28,41,23,6,3,19,21,-15
ORL,ORL vs. MIL,04/14/2024,W,240,113,42,85,49.4,11,35,31.4,18,19,94.7,7,36,43,27,11,5,14,18,25,,MIL,MIL @ ORL,04/14/2024,L,240,88,30,75,40,7,27,25.9,21,23,91.3,7,27,34,16,10,4,17,18,-25
BOS,BOS vs. WAS,04/14/2024,W,240,132,51,89,57.3,16,32,50,14,21,66.7,10,38,48,29,10,15,17,13,10,,WAS,WAS @ BOS,04/14/2024,L,240,122,49,103,47.6,14,38,36.8,10,10,100,8,28,36,33,9,4,12,16,-10
PHI,PHI vs. BKN,04/14/2024,W,240,107,41,96,42.7,14,44,31.8,11,15,73.3,13,44,57,30,8,6,14,16,21,,BKN,BKN @ PHI,04/14/2024,L,240,86,32,83,38.6,9,34,26.5,13,17,76.5,4,38,42,19,8,6,13,14,-21
CLE,CLE vs. CHA,04/14/2024,L,240,110,44,93,47.3,16,33,48.5,6,9,66.7,12,31,43,30,4,1,14,8,-10,,CHA,CHA @ CLE,04/14/2024,W,240,120,46,91,50.5,19,40,47.5,9,11,81.8,10,37,47,36,10,9,10,11,10
