Rank,Team,2023,Last 3,Last 1,Home ,Away,2022
1,Baltimore,11.6,3.3,-7,13.1,9.5,1.6
2,Dallas,9.9,4.3,-16,17.3,2.4,7.1
3,San Francisco,9.8,1,-3,7.1,12.5,8.7
4,Buffalo,7.9,6,-3,12.9,2.4,8.6
5,Kansas City,5.2,4.3,3,7.7,3.3,7
6,Miami,4.8,-21,-19,14.6,-5,-0.3
7,New Orleans,4.4,11,31,6.3,2.8,-0.9
8,Detroit,3.6,2,-3,8,-0.8,1.5
9,Green Bay,2.4,7,-3,-0.6,4.6,-0.1
10,Tampa Bay,2,8,-8,3,1.1,-3.4
11,Houston,1.6,3.7,-24,6.9,-4.2,-7.7
12,LA Rams,1.4,0.3,-1,3.5,-0.2,-4.5
13,Jacksonville,0.4,0,-8,-1.9,2.3,2.5
14,Cleveland,0.2,-10.3,-31,8.4,-8.1,-1.2
15,Las Vegas,0.1,5.3,13,7.7,-8.5,-1.4
16,Philadelphia,-1,-14.7,-23,1.5,-3,9.3
17,Cincinnati,-1.1,-4.7,17,4.6,-7.4,6.2
17,Minnesota,-1.1,-13,-10,-4,1.6,-0.6
19,Chicago,-1.1,7.7,-8,5,-6.6,-8.1
19,Indianapolis,-1.1,-6.7,-4,0.2,-2.6,-8.1
21,Pittsburgh,-1.9,0,-14,-0.9,-2.9,-2.2
22,Seattle,-2.2,-1,1,-1.5,-2.9,-0.7
23,LA Chargers,-3.1,-3.3,-1,-1.6,-4.8,0.3
23,Atlanta,-3.1,-10.7,-31,3.8,-9.1,-1.2
25,Denver,-3.3,-3,-13,2.9,-10.3,-4.2
26,Tennessee,-3.6,-6,8,4.8,-11.1,-3.6
27,NY Jets,-5.1,-0.3,14,-1.9,-8.8,-1.2
28,Arizona,-7.4,-2.7,-1,-6.3,-8.3,-6.4
29,New England,-7.6,-5.7,-14,-9.4,-6.1,1
30,NY Giants,-8.3,2.7,17,-4.5,-11.7,-1.6
31,Carolina,-10.6,-12.7,-9,-7,-13.8,-1.6
32,Washington,-11.1,-15.7,-28,-18,-5,-1.3
